edgeID,startNode,endNode
AHALL0070G_ACONF0010G,AHALL0070G,ACONF0010G
AHALL0070G_AHALL0050G,AHALL0070G,AHALL0050G
AHALL0070G_AINFO0020G,AHALL0070G,AINFO0020G
EHALL02701_EHALL02601,EHALL02701,EHALL02601
DHALL01202_DHALL01102,DHALL01202,DHALL01102
DHALL01202_DCONF00102,DHALL01202,DCONF00102
DHALL01202_DHALL01302,DHALL01202,DHALL01302
DHALL01202_DHALL01602,DHALL01202,DHALL01602
DHALL03502_DHALL03402,DHALL03502,DHALL03402
DHALL03502_DHALL03602,DHALL03502,DHALL03602
BSTAI00302_BHALL00802,BSTAI00302,BHALL00802
EHALL00401_EHALL00301,EHALL00401,EHALL00301
EHALL00401_EHALL00501,EHALL00401,EHALL00501
EHALL00401_ESTAI00201,EHALL00401,ESTAI00201
DHALL05802_DHALL05702,DHALL05802,DHALL05702
GSERV02301_GHALL02201,GSERV02301,GHALL02201
GSERV02301_GHALL02401,GSERV02301,GHALL02401
GHALL008L2_GHALL007L2,GHALL008L2,GHALL007L2
IHALL00103_IHALL00203,IHALL00103,IHALL00203
IHALL00103_IREST00103,IHALL00103,IREST00103
IHALL00103_WHALL00203,IHALL00103,WHALL00203
CDEPT002L1_CDEPT003L1,CDEPT002L1,CDEPT003L1
CDEPT002L1_CHALL013L1,CDEPT002L1,CHALL013L1
XHALL15902_XHALL15802,XHALL15902,XHALL15802
XHALL15902_XHALL16002,XHALL15902,XHALL16002
FHALL00701_WELEV00L01,FHALL00701,WELEV00L01
FHALL00701_FHALL00801,FHALL00701,FHALL00801
FHALL00701_FHALL01801,FHALL00701,FHALL01801
BDEPT00102_BHALL03802,BDEPT00102,BHALL03802
EHALL01601_EHALL01501,EHALL01601,EHALL01501
EHALL01601_EHALL01701,EHALL01601,EHALL01701
EHALL01601_EHALL01801,EHALL01601,EHALL01801
DHALL00102_DHALL00202,DHALL00102,DHALL00202
DHALL02402_DHALL02302,DHALL02402,DHALL02302
DHALL02402_DHALL02502,DHALL02402,DHALL02502
WELEV00KL2_CHALL003L2,WELEV00KL2,CHALL003L2
WELEV00KL2_CLABS002L2,WELEV00KL2,CLABS002L2
WELEV00KL2_WELEV00K01,WELEV00KL2,WELEV00K01
WELEV00KL2_WELEV00K02,WELEV00KL2,WELEV00K02
WELEV00KL2_WELEV00K03,WELEV00KL2,WELEV00K03
WELEV00KL2_WELEV00KL1,WELEV00KL2,WELEV00KL1
AHALL00602_AHALL00102,AHALL00602,AHALL00102
AHALL00602_WHALL01002,AHALL00602,WHALL01002
AHALL00603_AHALL00503,AHALL00603,AHALL00503
AHALL00603_AREST00103,AHALL00603,AREST00103
FSTAI00101_FHALL00201,FSTAI00101,FHALL00201
FSTAI00101_HSTAI00102,FSTAI00101,HSTAI00102
GDEPT02402_GHALL01702,GDEPT02402,GHALL01702
GDEPT02402_GHALL03002,GDEPT02402,GHALL03002
GDEPT02402_GELEV00N02,GDEPT02402,GELEV00N02
WELEV00KL1_CHALL008L1,WELEV00KL1,CHALL008L1
WELEV00KL1_CHALL009L1,WELEV00KL1,CHALL009L1
WELEV00KL1_WELEV00K01,WELEV00KL1,WELEV00K01
WELEV00KL1_WELEV00K02,WELEV00KL1,WELEV00K02
WELEV00KL1_WELEV00K03,WELEV00KL1,WELEV00K03
AHALL00601_ADEPT00201,AHALL00601,ADEPT00201
AHALL00601_AHALL00501,AHALL00601,AHALL00501
DHALL04702_DHALL04602,DHALL04702,DHALL04602
DHALL04702_DHALL04802,DHALL04702,DHALL04802
IHALL01303_IHALL00203,IHALL01303,IHALL00203
IHALL01303_IHALL01203,IHALL01303,IHALL01203
IHALL01303_IHALL01403,IHALL01303,IHALL01403
IHALL01303_IREST00403,IHALL01303,IREST00403
WELEV00M01_FHALL02201,WELEV00M01,FHALL02201
WELEV00M01_FHALL02301,WELEV00M01,FHALL02301
WELEV00M01_WELEV00M02,WELEV00M01,WELEV00M02
WELEV00M01_WELEV00M03,WELEV00M01,WELEV00M03
WELEV00M01_WELEV00ML1,WELEV00M01,WELEV00ML1
WELEV00M01_WELEV00ML2,WELEV00M01,WELEV00ML2
AHALL004L2_AHALL003L2,AHALL004L2,AHALL003L2
AHALL004L2_ALABS001L2,AHALL004L2,ALABS001L2
FEXIT00301_FDEPT00501,FEXIT00301,FDEPT00501
IDEPT00803_IHALL01903,IDEPT00803,IHALL01903
AELEV00SL2_AELEV00S01,AELEV00SL2,AELEV00S01
AELEV00SL2_AELEV00S02,AELEV00SL2,AELEV00S02
AELEV00SL2_AELEV00S03,AELEV00SL2,AELEV00S03
AELEV00SL2_AELEV00S0G,AELEV00SL2,AELEV00S0G
AELEV00SL2_AHALL001L2,AELEV00SL2,AHALL001L2
FHALL01801_FHALL01701,FHALL01801,FHALL01701
FHALL01801_FHALL03201,FHALL01801,FHALL03201
AHALL0080G_ACONF0010G,AHALL0080G,ACONF0010G
AHALL0080G_AHALL0060G,AHALL0080G,AHALL0060G
AHALL0080G_AHALL0140G,AHALL0080G,AHALL0140G
AHALL0080G_AHALL0100G,AHALL0080G,AHALL0100G
DHALL05702_DHALL05602,DHALL05702,DHALL05602
DHALL05702_DELEV00D02,DHALL05702,DELEV00D02
ASTAI0010G_ASTAI00101,ASTAI0010G,ASTAI00101
ASTAI0010G_AHALL0020G,ASTAI0010G,AHALL0020G
EHALL00501_EHALL00601,EHALL00501,EHALL00601
EHALL02801_EHALL02501,EHALL02801,EHALL02501
DHALL03402_DHALL03202,DHALL03402,DHALL03202
DHALL03402_DHALL04002,DHALL03402,DHALL04002
DHALL03402_DHALL04302,DHALL03402,DHALL04302
DHALL01102_DHALL01002,DHALL01102,DHALL01002
BINFO00202_BHALL01302,BINFO00202,BHALL01302
BINFO00202_BHALL04402,BINFO00202,BHALL04402
BINFO00202_BHALL02502,BINFO00202,BHALL02502
BINFO00202_WELEV00F02,BINFO00202,WELEV00F02
GDEPT01403_GELEV00N03,GDEPT01403,GELEV00N03
GDEPT01403_GSERV01603,GDEPT01403,GSERV01603
GDEPT01403_GHALL01303,GDEPT01403,GHALL01303
GDEPT01403_AHALL05306,GDEPT01403,AHALL05306
CSERV001L1_CHALL002L1,CSERV001L1,CHALL002L1
CSERV001L1_CCONF002L1,CSERV001L1,CCONF002L1
ELABS00201_EDEPT00401,ELABS00201,EDEPT00401
ELABS00201_EREST00301,ELABS00201,EREST00301
CSERV001L2_CREST002L2,CSERV001L2,CREST002L2
CSERV001L2_CLABS002L2,CSERV001L2,CLABS002L2
GREST00602_GHALL00402,GREST00602,GHALL00402
GREST00602_GHALL01002,GREST00602,GHALL01002
GREST00602_GHALL00502,GREST00602,GHALL00502
ASTAI00101_AHALL01001,ASTAI00101,AHALL01001
ASTAI00101_AHALL00201,ASTAI00101,AHALL00201
ASTAI00101_AHALL00101,ASTAI00101,AHALL00101
ASTAI00101_ASTAI00102,ASTAI00101,ASTAI00102
GHALL007L2_GELEV00QL2,GHALL007L2,GELEV00QL2
GHALL007L2_GHALL009L2,GHALL007L2,GHALL009L2
ASTAI00102_AHALL00202,ASTAI00102,AHALL00202
GSTAI02602_GHALL02702,GSTAI02602,GHALL02702
GSTAI02602_GSTAI00903,GSTAI02602,GSTAI00903
GSTAI02602_GELEV00N02,GSTAI02602,GELEV00N02
FHALL00801_FHALL00901,FHALL00801,FHALL00901
BDEPT00202_BHALL03402,BDEPT00202,BHALL03402
DHALL04602_DHALL04302,DHALL04602,DHALL04302
DHALL04602_DLABS00102,DHALL04602,DLABS00102
XELEV 1502_XHALL16302,XELEV 1502,XHALL16302
XELEV 1502_XELEV  803,XELEV 1502,XELEV  803
DHALL02302_DHALL02202,DHALL02302,DHALL02202
DHALL02302_DSTAI00302,DHALL02302,DSTAI00302
WELEV00LL1_CHALL014L1,WELEV00LL1,CHALL014L1
WELEV00LL1_CHALL001L1,WELEV00LL1,CHALL001L1
WELEV00LL1_WELEV00L01,WELEV00LL1,WELEV00L01
WELEV00LL1_WELEV00L02,WELEV00LL1,WELEV00L02
WELEV00LL1_WELEV00L03,WELEV00LL1,WELEV00L03
WELEV00LL1_WELEV00LL2,WELEV00LL1,WELEV00LL2
FEXIT00201_FHALL02801,FEXIT00201,FHALL02801
AHALL00701_ADEPT00301,AHALL00701,ADEPT00301
AHALL00701_AHALL00501,AHALL00701,AHALL00501
HHALL01002_HDEPT00102,HHALL01002,HDEPT00102
HHALL01002_WHALL00502,HHALL01002,WHALL00502
