nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned
AHALL0070G,1712,2647,G,BTM,HALL,Hall 28,Hall,A
EHALL02701,3085,1000,1,45 Francis,HALL,Hallway Node 25 Floor 1,HallE25,A
DHALL01202,4570,555,2,15 Francis,HALL,Hallway 12 Floor 2,Hallway D1202,A
DHALL03502,3945,790,2,15 Francis,HALL,Hallway 35 Floor 2,Hallway D3502,A
BSTAI00302,2554,783,2,45 Francis,STAI,Staircase Intersection 3 Level 2,Stair B0302,A
EHALL00401,2275,910,1,45 Francis,HALL,Hallway Node 2 Floor 1,HallE02,A
DHALL05802,3510,790,2,15 Francis,HALL,Hallway 58 Floor 2,Hallway D5802,A
GSERV02301,1600,1895,1,Shapiro,SERV,ATM,ATM Floor 1,A
GHALL008L2,1577,2195,L2,Shapiro,HALL,Hallway MapNode 8 Floor L2,Hall,A
IHALL00103,2255,1290,3,45 Francis,HALL,Hallway Node 1,H1,A
CDEPT002L1,1980,844,L1,Tower,DEPT,Day Surgery Family Waiting,Department C002L1,A
XHALL15902,3378,1573,2,45 Francis,HALL,45 sidewalk 3,45 sidewalk,A
FHALL00701,1758,930,1,Tower,HALL,Tower Elevator Entrance,Hallway F00701,A
BDEPT00102,2260,786,2,45 Francis,DEPT,Comprehensive Breast Heath,DEPT B0102,A
EHALL01601,2910,910,1,45 Francis,HALL,Hallway Node 14 Floor 1,HallE14,A
DHALL00102,4770,1140,2,15 Francis,HALL,Hallway 1 Floor 2,Hallway D0102,A
DHALL02402,4280,435,2,15 Francis,HALL,Hallway 24 Floor 2,Hallway D2402,A
WELEV00KL2,2215,974,L2,45 Francis,ELEV,Elevator K 5,Elevator KL2,A
AHALL00602,1683,2543,2,BTM,HALL,Hall 17,Hall,A
AHALL00603,1580,2858,3,BTM,HALL,HallNode,HallNode,A
FSTAI00101,2026,892,1,Tower,STAI,Lobby Shattuck Street Stairs,Stairway F00101,A
GDEPT02402,1578,1932,2,Shapiro,DEPT,Watkins A,Watkins A,A
WELEV00KL1,2220,974,L1,45 Francis,ELEV,Elevator K 4,Elevator KL1,A
AHALL00601,1678,2865,1,BTM,HALL,Hall 6,Hall,A
DHALL04702,3745,780,2,15 Francis,HALL,Hallway 47 Floor 2,Hallway D4702,A
IHALL01303,2323,1034,3,45 Francis,HALL,Hallway Node 13,H13,A
WELEV00M01,1810,1280,1,Tower,ELEV,Elevator M 1,Elevator M1,A
AHALL004L2,1698,2687,L2,BTM,HALL,Hall 38,Hall,A
FEXIT00301,2099,1357,1,Tower,EXIT,Emergency Department Entrance,Emergency Entrance,A
IDEPT00803,2492,887,3,45 Francis,DEPT,Fetal Med & Genetics,D8,A
AELEV00SL2,1630,2742,L2,BTM,ELEV,Elevator S 5,Elevator S L2,A
FHALL01801,1758,956,1,Tower,HALL,Tower Hallway 10,Hallway F01801,A
AHALL0080G,1602,2706,G,BTM,HALL,Hall 29,Hall,A
