edgeID,startNode,endNode
ADEPT00101_AHALL02301,ADEPT00101,AHALL02301
ADEPT00201_AHALL00701,ADEPT00201,AHALL00701
ADEPT00301_AHALL00901,ADEPT00301,AHALL00901
ALABS00101_AHALL00601,ALABS00101,AHALL00601
ADEPT00401_AHALL00701,ADEPT00401,AHALL00701
ALABS00201_AHALL01301,ALABS00201,AHALL01301
ADEPT00501_AHALL02301,ADEPT00501,AHALL02301
ADEPT00601_AHALL00601,ADEPT00601,AHALL00601
ADEPT00701_AHALL00401,ADEPT00701,AHALL00401
ALABS00301_AHALL01401,ALABS00301,AHALL01401
ALABS00401_AHALL01501,ALABS00401,AHALL01501
ASERV00101_AHALL01801,ASERV00101,AHALL01801
ADEPT00801_AHALL01701,ADEPT00801,AHALL01701
ADEPT00901_AHALL00901,ADEPT00901,AHALL00901
ADEPT01001_AHALL01101,ADEPT01001,AHALL01101
ADEPT01101_AHALL02001,ADEPT01101,AHALL02001
ADEPT01201_AHALL02201,ADEPT01201,AHALL02201
ADEPT01301_AHALL02101,ADEPT01301,AHALL02101
ALABS00501_ASTAI00401,ALABS00501,ASTAI00401
AREST00101_AHALL00501,AREST00101,AHALL00501
AREST00201_AHALL00401,AREST00201,AHALL00401
AREST00301_AHALL00401,AREST00301,AHALL00401
ASTAI00101_AHALL00201,ASTAI00101,AHALL00201
ASTAI00201_AHALL00301,ASTAI00201,AHALL00301
ASTAI00201_CSTAI00102,ASTAI00201,CSTAI00102
ASTAI00301_AHALL01601,ASTAI00301,AHALL01601
ASTAI00301_ASTAI00202,ASTAI00301,ASTAI00202
ASTAI00401_AEXIT00401,ASTAI00401,AEXIT00401
ASTAI00401_ESTAI00404,ASTAI00401,ESTAI00404
AELEV00X01_AHALL00301,AELEV00X01,AHALL00301
AELEV00X01_CELEV00102,AELEV00X01,CELEV00102
AELEV00Y01_AHALL01701,AELEV00Y01,AHALL01701
AELEV00Y01_CELEV00202,AELEV00Y01,CELEV00202
AELEV00Z01_AHALL01701,AELEV00Z01,AHALL01701
AEXIT00101_AHALL00101,AEXIT00101,AHALL00101
AEXIT00201_AHALL00801,AEXIT00201,AHALL00801
AEXIT00301_AHALL01701,AEXIT00301,AHALL01701
AHALL00101_AHALL00201,AHALL00101,AHALL00201
AHALL00101_ARETL00101,AHALL00101,ARETL00101
